timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,traffic_rate,true_label,bytes_per_second,is_high_port,size_category,rate_category,duration_category,classified_label,matched_rule,confidence,is_correct,qos_priority,qos_priority_name,dscp_value,dscp_name,ieee_8021p,scheduling_class,bandwidth_guarantee,max_delay_ms,max_jitter_ms,packet_loss_tolerance
2026-04-15 14:10:00.455,FLOW-36772,192.168.1.61,2.42.213.238,56317,80,TCP,307,1.693,381.84,web,117.22,0,medium,medium,short,web,HTTP Web,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.828,FLOW-50248,192.168.0.161,31.6.190.35,1921,554,UDP,1127,98.268,6634.65,multimedia,7477.25,0,large,high,long,multimedia,Video Streaming (RTSP),HIGH,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.738,FLOW-29179,192.168.0.86,92.136.209.99,31648,8080,TCP,1246,1.908,115.07,web,143.38,1,large,medium,short,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.167,FLOW-30561,10.0.0.247,172.16.0.165,49983,68,ICMP,120,0.361,5.23,background,0.63,0,small,low,short,background,ICMP,HIGH,YES,6,BEST EFFORT,0,BE (Best Effort / Default),0,Best Effort (FIFO),5%,10000,5000,< 10%
2026-04-15 14:10:00.721,FLOW-39349,192.168.1.138,146.175.205.101,61299,5061,UDP,184,94.604,64.51,voip,11.87,1,small,low,long,voip,VoIP (SIP/RTP),HIGH,YES,1,CRITICAL,46,EF (Expedited Forwarding),6,Priority Queue (PQ),10%,150,30,< 1%
2026-04-15 14:10:00.289,FLOW-79344,192.168.0.210,132.28.104.66,10097,80,TCP,601,0.534,207.99,web,125.0,0,medium,medium,short,web,HTTP Web,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.852,FLOW-95827,192.168.0.69,218.212.15.30,18865,8080,TCP,578,3.586,224.78,web,129.92,1,medium,medium,medium,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.791,FLOW-14135,192.168.1.93,186.255.159.2,19453,80,TCP,1311,4.195,185.97,web,243.81,0,large,medium,medium,web,HTTP Web,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.357,FLOW-90828,192.168.0.182,194.133.9.225,9822,1935,UDP,1220,84.145,5217.39,multimedia,6365.22,1,large,high,long,multimedia,Heuristic: Large-packet high-rate UDP,MEDIUM,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.858,FLOW-83728,192.168.1.239,158.57.127.55,63533,554,UDP,1061,58.696,1240.95,multimedia,1316.65,0,large,high,long,multimedia,Video Streaming (RTSP),HIGH,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.855,FLOW-82301,192.168.1.50,23.102.207.164,52032,5005,UDP,1214,48.852,5008.79,multimedia,6080.67,1,large,high,long,multimedia,RTP Streams,HIGH,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.923,FLOW-90780,192.168.0.2,147.234.122.161,32070,443,TCP,279,0.659,196.08,web,54.71,0,small,medium,short,web,HTTPS Web,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.842,FLOW-65419,192.168.1.140,58.61.109.211,26651,8080,TCP,493,1.909,253.44,web,124.95,1,medium,medium,short,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.675,FLOW-39274,172.16.0.168,54.225.167.98,2783,21,TCP,1021,39.526,9742.22,file_transfer,9946.81,0,large,high,long,file_transfer,FTP Data/Control,HIGH,YES,5,LOW,10,AF11 (Assured Forwarding 1-1),2,Deficit Round Robin (DRR),15%,5000,2000,< 5%
2026-04-15 14:10:00.354,FLOW-84047,192.168.0.247,10.0.0.208,61791,68,ICMP,227,0.343,25.5,background,5.79,0,small,low,short,background,ICMP,HIGH,YES,6,BEST EFFORT,0,BE (Best Effort / Default),0,Best Effort (FIFO),5%,10000,5000,< 10%
2026-04-15 14:10:00.152,FLOW-94794,10.0.0.205,24.103.172.202,9480,22,TCP,1262,54.804,5099.82,file_transfer,6435.97,0,large,high,long,file_transfer,SSH/SCP,HIGH,YES,5,LOW,10,AF11 (Assured Forwarding 1-1),2,Deficit Round Robin (DRR),15%,5000,2000,< 5%
2026-04-15 14:10:00.692,FLOW-22292,10.0.0.206,43.190.181.83,34209,5060,UDP,138,89.902,114.77,voip,15.84,1,small,medium,long,voip,VoIP (SIP/RTP),HIGH,YES,1,CRITICAL,46,EF (Expedited Forwarding),6,Priority Queue (PQ),10%,150,30,< 1%
2026-04-15 14:10:00.844,FLOW-18857,192.168.1.61,142.107.214.87,11072,21,TCP,1120,26.847,5449.31,file_transfer,6103.23,0,large,high,medium,file_transfer,FTP Data/Control,HIGH,YES,5,LOW,10,AF11 (Assured Forwarding 1-1),2,Deficit Round Robin (DRR),15%,5000,2000,< 5%
2026-04-15 14:10:00.666,FLOW-66246,172.16.0.190,129.87.28.164,46718,5004,UDP,1486,88.042,3681.17,multimedia,5470.22,1,large,high,long,multimedia,RTP Streams,HIGH,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.879,FLOW-68589,172.16.0.126,214.209.133.219,9196,8080,TCP,507,4.493,280.87,web,142.4,1,medium,medium,medium,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.587,FLOW-66119,172.16.0.174,89.83.190.67,45822,3074,UDP,200,631.269,209.64,gaming,41.93,1,small,medium,long,gaming,Online Gaming,HIGH,YES,3,HIGH,40,CS5 (Class Selector 5),5,Weighted Fair Queuing (WFQ),15%,100,20,< 1%
2026-04-15 14:10:00.350,FLOW-56717,10.0.0.56,185.62.110.55,2798,5060,UDP,69,165.793,67.14,voip,4.63,1,small,low,long,voip,VoIP (SIP/RTP),HIGH,YES,1,CRITICAL,46,EF (Expedited Forwarding),6,Priority Queue (PQ),10%,150,30,< 1%
2026-04-15 14:10:00.978,FLOW-37031,192.168.1.172,18.238.12.209,41369,16385,UDP,211,155.238,121.98,voip,25.74,1,small,medium,long,voip,VoIP RTP Media,HIGH,YES,1,CRITICAL,46,EF (Expedited Forwarding),6,Priority Queue (PQ),10%,150,30,< 1%
2026-04-15 14:10:00.349,FLOW-19962,172.16.0.226,207.212.88.97,9154,5004,UDP,878,62.46,4503.63,multimedia,3954.19,1,medium,high,long,multimedia,RTP Streams,HIGH,YES,2,HIGH,34,AF41 (Assured Forwarding 4-1),5,Weighted Fair Queuing (WFQ),30%,400,100,< 2%
2026-04-15 14:10:00.537,FLOW-18534,10.0.0.52,106.190.124.72,40589,2049,TCP,1217,55.004,1553.19,file_transfer,1890.23,1,large,high,long,file_transfer,NFS,HIGH,YES,5,LOW,10,AF11 (Assured Forwarding 1-1),2,Deficit Round Robin (DRR),15%,5000,2000,< 5%
2026-04-15 14:10:00.153,FLOW-13779,192.168.1.6,195.30.108.243,20868,8080,TCP,282,3.266,104.15,web,29.37,1,small,medium,medium,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
2026-04-15 14:10:00.766,FLOW-60256,10.0.0.1,216.6.42.101,59214,3074,UDP,115,2420.268,254.31,gaming,29.25,1,small,medium,long,gaming,Online Gaming,HIGH,YES,3,HIGH,40,CS5 (Class Selector 5),5,Weighted Fair Queuing (WFQ),15%,100,20,< 1%
2026-04-15 14:10:00.389,FLOW-61373,172.16.0.105,157.128.133.185,4600,8080,TCP,1348,1.302,435.6,web,587.19,1,large,medium,short,web,HTTP Alt,HIGH,YES,4,MEDIUM,26,AF31 (Assured Forwarding 3-1),3,Weighted Fair Queuing (WFQ),25%,1000,500,< 3%
